timestamp,username,message
2025-06-11T22:12:35,nazariox_,Tu as testé de tourner la caméra pour lancer les objets ?
2025-06-11T22:12:41,hugo_73200,tu peux viser avec les carapaces en utilisant la cam
2025-06-11T22:12:41,judibg,Parce que le prock des items dépend plus de la distance au 1er
2025-06-11T22:12:45,kinesitherapeutes,@Jofaadaa lol
2025-06-11T22:12:58,cluster30,les modo predi
2025-06-11T22:13:07,johngotchiii,le choix du roi Gota félicitation gotagaCowboy
2025-06-11T22:13:17,dromies,@cluster30 Non c'est pas finis gotagaYann
2025-06-11T22:13:21,sebsopra,"et encore, là vous jouez encore comme au précédent. Quand vous commencerez à rider sur les murs, vous kifferez encore +"
2025-06-11T22:13:42,mcvrcus,MDRRRRRR
2025-06-11T22:13:55,artus711,bonsoir
2025-06-11T22:13:56,inos84_,"@Dromies ""la prédi???"" DogO"
2025-06-11T22:14:01,haricover6319,La team non qui se régale
2025-06-11T22:14:01,cluster30,@Dromies c pour le tournoi mb
2025-06-11T22:14:01,mandroptod1,la cam met vraiment bien
2025-06-11T22:14:10,dromies,@cluster30 Aucun souci peepoSing
2025-06-11T22:14:14,dromies,gotagaSINGE *
2025-06-11T22:14:18,dromies,@InoS84_ gotagaSqueZZZ
