timestamp,username,message
2025-06-11T22:05:56,emygoth_daemon,les modos vous feriez mieux d'annuler la prédi en attendant de comprendre comment les courses fonctionnent !
2025-06-11T22:06:00,quipstagey,Squeezie le fou du bus 😂
2025-06-11T22:06:03,blidz_loulou,les jumbots
2025-06-11T22:06:04,olibosc,la tete de concentration mdr
2025-06-11T22:06:07,himynameisdory_,est-ce que vous avez un délai entre son et vidéo chez vous ?
2025-06-11T22:06:08,manon_dbs_,😂😂😂😂😂
2025-06-11T22:06:08,234pika,@antelinalive leyennLove leyennLove
2025-06-11T22:06:12,minato_namikaze_le_best,sqzPasDuTout
2025-06-11T22:06:13,rayanmardi19,modo le bet svp
2025-06-11T22:06:18,naaky13,J'aimerais mais tellement gagner le concours
2025-06-11T22:06:19,the_lazyone_,GGGGG
2025-06-11T22:06:21,manon_dbs_,Amateur 🤣🤣🤣🤣
2025-06-11T22:06:24,nanouche_yasss,le best c'est méga shroom
2025-06-11T22:06:30,wikidydy,le cut avec le champi là ???
2025-06-11T22:06:31,maxouziee,@himynameisdory_ non du tout fais f5
2025-06-11T22:06:31,03venompool02,les pièces squeezie
2025-06-11T22:06:33,user_anae,coucou
2025-06-11T22:06:39,jujulitho,ya pas le 2k ?
2025-06-11T22:06:43,hourinahx,@emygoth_daemon je suis perduuueeee
2025-06-11T22:06:43,nowhann,Jumbotons
2025-06-11T22:06:50,kichoub,Oh
2025-06-11T22:06:53,zakpro264,Ya les examens de fin d'année😭😭
2025-06-11T22:06:54,burningfire2812,moi stp
2025-06-11T22:06:55,albertkleist,@HourinaHx alors on est perdu ?? mdrr
2025-06-11T22:06:56,burningfire2812,stp
2025-06-11T22:06:56,cousinburak,les modo la prédi c'était non
2025-06-11T22:06:58,burningfire2812,moi stp
2025-06-11T22:06:58,nikadinho27,prends les 20 pièces
2025-06-11T22:07:01,himynameisdory_,@Maxouziee ok merci bug je pense
2025-06-11T22:07:02,shinzo_wo_sasageyooo,mais GARDE LA
2025-06-11T22:07:03,burningfire2812,switch 2
2025-06-11T22:07:06,shwasmr2b,il tient la première place là c’est dingue sqzWooow
2025-06-11T22:07:08,burningfire2812,moi stp
2025-06-11T22:07:09,valentin_dckrs,la banane ne protège plus
2025-06-11T22:07:10,burningfire2812,stp
2025-06-11T22:07:11,manon_dbs_,Force les gars pr les épreuves
2025-06-11T22:07:12,aiian33,qwitch 2
2025-06-11T22:07:13,imaginatrice,mdrrrr
2025-06-11T22:07:14,burningfire2812,moi stpp
2025-06-11T22:07:16,au_voleur,il n'y avait pas une predi ?
2025-06-11T22:07:17,aiian33,switch 2
2025-06-11T22:07:18,maxouziee,@himynameisdory_ oui sûrement !
2025-06-11T22:07:19,burningfire2812,sshytpp
2025-06-11T22:07:19,aiian33,gg
2025-06-11T22:07:21,ei_pistolerro,mdrrr
2025-06-11T22:07:21,kichoub,🤣🤣🤣🤣
2025-06-11T22:07:23,burningfire2812,switch 2
2025-06-11T22:07:23,nanouche_yasss,mdrr
2025-06-11T22:07:24,laoni_mizuka11,sa tête mdrr
2025-06-11T22:07:24,flegs18,MDRRR
2025-06-11T22:07:25,chibbiyo,MDRRRRR
2025-06-11T22:07:26,tm_tew,le rire de doig
2025-06-11T22:07:27,lisbethakhorn,LUL
2025-06-11T22:07:27,darkvulco,sqzLUL sqzLUL sqzLUL
2025-06-11T22:07:27,alb69l,la tete de doig
2025-06-11T22:07:27,m8_arslane,LUL LUL
2025-06-11T22:07:28,willfro_,valider la predi svp
2025-06-11T22:07:28,burningfire2812,!switch 2
2025-06-11T22:07:30,pewzo_,LUL LUL LUL
2025-06-11T22:07:30,nicentor_,pahahhahaha
2025-06-11T22:07:33,olibosc,mdrrrrrrrrr
2025-06-11T22:07:33,rtx_snayzy,@HourinaHx mais la les courses sont finies ce sont de nouvelles la nn?
2025-06-11T22:07:34,manon_dbs_,LUL LUL LUL LUL LUL LUL
2025-06-11T22:07:35,quipstagey,LUL
2025-06-11T22:07:40,gegcopoli,doigby le goat
2025-06-11T22:07:40,meliiii_ssaaa,Je viens d'arriver coucou
2025-06-11T22:07:41,charlyhazee,Sa tête là ptdrrrr
2025-06-11T22:07:43,emygoth_daemon,@HourinaHx Oui je m'en doutais ! Pas facile votre boulot !
2025-06-11T22:07:43,burningfire2812,stp
2025-06-11T22:07:45,burningfire2812,fc
2025-06-11T22:07:46,matamore_77,mais nan on peut mettre une cam c'est des génies mdrr
2025-06-11T22:07:48,zaykrow,!switch2
2025-06-11T22:07:49,burningfire2812,pas
2025-06-11T22:07:50,albertkleist,@meliiii_ssaaa salutt bienvenue
2025-06-11T22:07:50,nodix3000,mdrrrr
2025-06-11T22:07:51,burningfire2812,c
2025-06-11T22:07:51,razmoquette0_0,les rires sont vraiment hilarant
2025-06-11T22:07:52,quipstagey,Jebasted Jebasted
2025-06-11T22:07:53,100tdousey,fv
2025-06-11T22:07:55,bastossnow,MDRRRRR
2025-06-11T22:07:56,aparrrrr,noooooob
2025-06-11T22:07:57,kichoub,Il ont pris de la dr*g*e c'est pas possible 🤣🤣😭
2025-06-11T22:07:57,flegs18,MDRRR
2025-06-11T22:07:58,missright41,LUL LUL LUL LUL LUL
2025-06-11T22:07:58,weezy972,La gestion des items ici est catasstrophique
2025-06-11T22:07:59,theboy846,LUL LUL
2025-06-11T22:07:59,manon_dbs_,Mdrrrrrr
2025-06-11T22:08:00,m8_arslane,LUL LUL LUL
2025-06-11T22:08:00,exhiie_,MDRRR NON
2025-06-11T22:08:00,albertkleist,mdrrr
2025-06-11T22:08:02,chri_gtr,mais pitié concentre toiiiiii
2025-06-11T22:08:02,wisegirling,Mais 😭 😭 😭
2025-06-11T22:08:03,y_ssr_16,MDRRRRRRRR
2025-06-11T22:08:05,flegs18,a la fin
2025-06-11T22:08:07,olibosc,NNN MAISN SQUEEZZZ
2025-06-11T22:08:08,nowhann,Les points les modos
2025-06-11T22:08:08,r_o_m_y_,mdrr
2025-06-11T22:08:08,yaya_328,MDRRRRRR
2025-06-11T22:08:09,slay___02,T'abuse
2025-06-11T22:08:12,haiko_565_,MDRRRRRR
2025-06-11T22:08:12,zakiram_,mdrrr le zgeg
2025-06-11T22:08:13,imaginatrice,mdrrrrr
2025-06-11T22:08:14,carotte_acide,TU PEUT DRIFFTÉ SUR PLACE
2025-06-11T22:08:14,xerios__,CHANGE TON PERSO
2025-06-11T22:08:14,captainpedrinho,il a choke ahah
2025-06-11T22:08:14,aparrrrr,NUUUUUUUL
2025-06-11T22:08:15,gegcopoli,ba c’est bien troisième en vrai
2025-06-11T22:08:16,jess_4,LUL
2025-06-11T22:08:16,elisardrgs,looser
2025-06-11T22:08:16,nohamboom,squeezie il joue comme un daron qui a jamais touché une manette de sa vie 🤣
2025-06-11T22:08:16,the_lazyone_,Nice 3è place !!
2025-06-11T22:08:16,quipstagey,HAHAHAHA
2025-06-11T22:08:18,kara1351,MAIS NOOOON
2025-06-11T22:08:19,imaginatrice,noooon
2025-06-11T22:08:19,bubble_dana,ptdrrrrrrr
2025-06-11T22:08:19,phapha12092524,Trop stylé les cams
2025-06-11T22:08:20,dowen_67,Mdrrr juste avant la fin
2025-06-11T22:08:20,akelasky,mdr
2025-06-11T22:08:21,gonandkirua,NULL
2025-06-11T22:08:21,calirouutv,Squeez pense à prendre + de pièce
2025-06-11T22:08:21,dr_xenius,Nul squeeze ....
2025-06-11T22:08:22,aceauroraace,NON MAIS NotLikeThis NotLikeThis NotLikeThis NotLikeThis
2025-06-11T22:08:22,shwasmr2b,aïe aïe aïe.. c’est dur..
2025-06-11T22:08:22,anasmash,le rétroviseuuuuur
2025-06-11T22:08:24,toxin_7spidey,Pourquoi tu prends pas toutes les pièces pour augmenter ta vitesse ?
2025-06-11T22:08:25,val0ver_,Trop nullll
2025-06-11T22:08:25,manon_dbs_,Nnnnnnn mdrrrrr
2025-06-11T22:08:26,laufromwonkru,!switch2
2025-06-11T22:08:26,oceanelvrs,mddrrr
2025-06-11T22:08:26,linguinyyyyyyy,terrible mdr
2025-06-11T22:08:28,missright41,Non mais lucas 😂😂
2025-06-11T22:08:29,m8_arslane,LUL LUL
2025-06-11T22:08:31,shad0w_sama_lebanni,ton pilote le squeez
2025-06-11T22:08:32,m8_baltho,change de persio
2025-06-11T22:08:32,omarkbi68,Si vous choisissez avec + sa permet d'avoir des course a 3 tours
2025-06-11T22:08:32,boutfleur,Kart actuel ou Reel racing / Koopa
